('refaced', 'defacer')
('nares', 'earns')
('nock', 'conk')
('grandma', 'grandam')
('legs', 'gels')
('steles', 'steels')
('steels', 'sleets')
('reeling', 'leering')
('waning', 'awning')
('supe', 'spue')
('crops', 'corps')
('nagged', 'ganged')
('ohm', 'mho')
('sri', 'sir')
('undergods', 'underdogs')
('roomier', 'moorier')
('read', 'dear')
('yager', 'gayer')
('cliches', 'chicles')
('mental', 'mantel')
('mantle', 'mantel')
('ups', 'pus')
('sup', 'pus')
('toss', 'sots')
('treatise', 'treaties')
('complier', 'compiler')
('navies', 'naives')
('bulgers', 'buglers')
('poled', 'loped')
('savager', 'ravages')
('masquer', 'marques')
('nudged', 'dunged')
('souring', 'rousing')
('tuba', 'tabu')
('oh', 'ho')
('sack', 'cask')
('sughed', 'gushed')
('sansei', 'sanies')
('toner', 'noter')
('toner', 'tenor')
('was', 'saw')
('epoxied', 'epoxide')
('garbed', 'barged')
('barged', 'badger')
('ala', 'aal')
('talas', 'atlas')
('dace', 'cade')
('leads', 'deals')
('lased', 'lades')
('lades', 'dales')
('sources', 'courses')
('slits', 'silts')
('silts', 'lists')
('lowse', 'lowes')
('spies', 'sipes')
('terraces', 'retraces')
('retraces', 'recrates')
('simpler', 'rimples')
('verser', 'server')
('saltires', 'saltiers')
('piastres', 'piasters')
('gain', 'agin')
('three', 'there')
('aliment', 'ailment')
('graters', 'garters')
('garters', 'garrets')
('aha', 'aah')
('speered', 'speeder')
('racing', 'arcing')
('racing', 'caring')
('tola', 'lota')
('moon', 'mono')
('yaw', 'way')
('taped', 'pated')
('rial', 'liar')
('rial', 'rail')
('rail', 'aril')
('rail', 'lair')
('lira', 'liar')
('liar', 'lair')
('liard', 'laird')
('rambler', 'marbler')
('toms', 'mots')
('mots', 'most')
('slivering', 'silvering')
('nonviral', 'nonrival')
('testes', 'sestet')
('gadids', 'gaddis')
('tule', 'lute')
('mugs', 'gums')
('rockiest', 'corkiest')
('toilers', 'loiters')
('irised', 'irides')
('yodle', 'yodel')
('warer', 'rawer')
('worts', 'worst')
('wans', 'awns')
('swan', 'sawn')
('swan', 'snaw')
('begrudging', 'bedrugging')
('rep', 'per')
('raias', 'arias')
('pedicles', 'pedicels')
('lone', 'leno')
('rectification', 'certification')
('gardens', 'ganders')
('ganders', 'dangers')
('pree', 'peer')
('pree', 'pere')
('pere', 'peer')
('tenter', 'netter')
('valses', 'salves')
('slaves', 'salves')
('tags', 'gats')
('gats', 'gast')
('nerols', 'enrols')
('rotted', 'dotter')
('whats', 'thaws')
('pole', 'lope')
('ruffed', 'duffer')
('tubas', 'tabus')
('sneak', 'skean')
('frails', 'flairs')
('raggle', 'gargle')
('relayed', 'delayer')
('yaps', 'pays')
('pyas', 'pays')
('ripening', 'repining')
('sire', 'rise')
('taper', 'pater')
('pater', 'apter')
('knosp', 'knops')
('hustler', 'hurtles')
('regain', 'reagin')
('tineas', 'tenias')
('kings', 'ginks')
('patsy', 'pasty')
('rank', 'nark')
('nark', 'karn')
('psalter', 'plaster')
('platers', 'palters')
('loggets', 'goglets')
('barters', 'barrets')
('spaced', 'scaped')
('narcs', 'carns')
('causally', 'casually')
('psalters', 'plasters')
('tonnes', 'sonnet')
('swans', 'snaws')
('ma', 'am')
('cestas', 'castes')
('lobos', 'bolos')
('footer', 'foetor')
('cold', 'clod')
('sris', 'sirs')
('too', 'oot')
('yam', 'may')
('spoons', 'snoops')
('kiesters', 'keisters')
('loof', 'fool')
('cuteys', 'cutesy')
('crap', 'carp')
('spoonier', 'snoopier')
('repel', 'leper')
('vainer', 'naiver')
('icon', 'cion')
('coni', 'coin')
('coin', 'cion')
('blae', 'bale')
('bale', 'able')
('raider', 'arider')
('staked', 'skated')
('swots', 'stows')
('crases', 'carses')
('carses', 'caress')
('palets', 'palest')
('tented', 'netted')
('ranked', 'danker')
('ranked', 'narked')
('narked', 'darken')
('darken', 'danker')
('soles', 'loses')
('soles', 'sloes')
('loses', 'loess')
('sims', 'isms')
('sims', 'miss')
('literate', 'laterite')
('roweling', 'lowering')
('roe', 'ore')
('dipoles', 'diploes')
('saids', 'sadis')
('ryas', 'rays')
('terrific', 'ferritic')
('sabin', 'basin')
('sabin', 'nabis')
('cordon', 'condor')
('terraced', 'retraced')
('retraced', 'recrated')
('rubier', 'burier')
('sprees', 'speers')
('ripped', 'dipper')
('petulant', 'patulent')
('trace', 'crate')
('crate', 'carte')
('cater', 'caret')
('carte', 'caret')
('footers', 'foetors')
('secs', 'cess')
('weld', 'lewd')
('insects', 'incests')
('tracing', 'crating')
('crating', 'carting')
('sandier', 'randies')
('reveling', 'levering')
('misrely', 'miserly')
('nay', 'any')
('reaps', 'pears')
('rapes', 'pares')
('presa', 'prase')
('prase', 'parse')
('parse', 'pares')
('pols', 'lops')
('gleds', 'gelds')
('rereads', 'redears')
('traps', 'prats')
('traps', 'tarps')
('tarps', 'parts')
('strap', 'sprat')
('prats', 'parts')
('pan', 'nap')
('foreman', 'foramen')
('stales', 'slates')
('gadid', 'gaddi')
('gids', 'digs')
('snowless', 'slowness')
('make', 'kame')
('toras', 'rotas')
('toras', 'taros')
('taros', 'ratos')
('rotas', 'ratos')
('encored', 'encoder')
('burin', 'bruin')
('fried', 'fired')
('bursa', 'buras')
('tor', 'rot')
('rot', 'ort')
('tyro', 'tory')
('troy', 'tory')
('simply', 'limpsy')
('dab', 'bad')
('goby', 'bogy')
('raising', 'arising')
('toiler', 'loiter')
('tsade', 'stade')
('sated', 'dates')
('boluses', 'blouses')
('seven', 'neves')
('vats', 'tavs')
('vats', 'vast')
('burnet', 'brunet')
('sorties', 'sorites')
('educe', 'deuce')
('momes', 'memos')
('psalms', 'plasms')
('pistaches', 'pastiches')
('versing', 'serving')
('solon', 'nolos')
('heptanes', 'haptenes')
('tennis', 'sennit')
('electroed', 'electrode')
('racer', 'carer')
('nomologies', 'monologies')
('kinds', 'dinks')
('jota', 'jato')
('wised', 'wides')
('signified', 'dignifies')
('ungula', 'ungual')
('ultraisms', 'altruisms')
('negus', 'genus')
('spans', 'snaps')
('anile', 'aline')
('aline', 'alien')
('buys', 'busy')
('whet', 'thew')
('morgen', 'monger')
('reified', 'deifier')
('edifier', 'deifier')
('braking', 'barking')
('sal', 'las')
('sabs', 'bass')
('colds', 'clods')
('lake', 'kale')
('relegates', 'regelates')
('souter', 'routes')
('beriming', 'bemiring')
('ramblers', 'marblers')
('riddled', 'diddler')
('lardon', 'ladron')
('grudging', 'drugging')
('wrastled', 'warstled')
('asters', 'assert')
('rimier', 'mirier')
('bene', 'been')
('titmen', 'mitten')
('troches', 'torches')
('torches', 'rotches')
('tochers', 'rochets')
('terra', 'tarre')
('space', 'scape')
('paces', 'capes')
('prigs', 'grips')
('retial', 'retail')
('recite', 'cerite')
('stiped', 'spited')
('trials', 'trails')
('gambrel', 'gambler')
('roomed', 'moored')
('getaways', 'gateways')
('mochas', 'machos')
('imputes', 'impetus')
('conversations', 'conservations')
('edified', 'deified')
('refrying', 'ferrying')
('lisp', 'lips')
('isled', 'idles')
('delis', 'deils')
('peen', 'neep')
('tiler', 'liter')
('litre', 'liter')
('patness', 'aptness')
('waters', 'tawers')
('mocha', 'macho')
('repels', 'lepers')
('kain', 'akin')
('spectres', 'sceptres')
('spectres', 'specters')
('specters', 'scepters')
('sceptres', 'scepters')
('nosed', 'nodes')
('bye', 'bey')
('framed', 'farmed')
('ramped', 'damper')
('mucin', 'cumin')
('jets', 'jest')
('graals', 'argals')
('tool', 'loot')
('tetanise', 'tetanies')
('nomisms', 'monisms')
('trig', 'grit')
('grit', 'girt')
('yap', 'pay')
('pya', 'pay')
('waddled', 'dawdled')
('teazle', 'teazel')
('cadastres', 'cadasters')
('niched', 'inched')
('gae', 'age')
('cliche', 'chicle')
('ani', 'ain')
('ochres', 'ochers')
('lacked', 'calked')
('robs', 'orbs')
('gib', 'big')
('burnt', 'brunt')
('split', 'spilt')
('spilt', 'slipt')
('roaches', 'oraches')
('versal', 'serval')
('slaver', 'salver')
('ravels', 'lavers')
('zonetime', 'monetize')
('frise', 'fries')
('fries', 'fires')
('kiester', 'keister')
('seres', 'seers')
('saker', 'asker')
('saker', 'rakes')
('eskar', 'asker')
('strip', 'sprit')
('strip', 'stirp')
('stirp', 'spirt')
('sprit', 'spirt')
('furmenties', 'frumenties')
('puls', 'plus')
('theatres', 'theaters')
('soled', 'doles')
('lodes', 'doles')
('staled', 'slated')
('slated', 'salted')
('salted', 'lasted')
('quatres', 'quartes')
('ready', 'deary')
('deray', 'deary')
('moods', 'dooms')
('stoplights', 'spotlights')
('pyxis', 'pixys')
('stops', 'spots')
('spool', 'sloop')
('pools', 'loops')
('pools', 'polos')
('rooms', 'moors')
('tinglers', 'ringlets')
('ose', 'oes')
('causals', 'casuals')
('rife', 'fire')
('outsider', 'outrides')
('cellar', 'caller')
('skeeing', 'seeking')
('hats', 'hast')
('antics', 'actins')
('tares', 'rates')
('joltily', 'jollity')
('sones', 'noses')
('kier', 'keir')
('seep', 'pees')
('dioptres', 'diopters')
('messan', 'mensas')
('mensas', 'manses')
('smiling', 'sliming')
('sord', 'dors')
('rods', 'dors')
('tooler', 'looter')
('retem', 'meter')
('retem', 'remet')
('metre', 'meter')
('stere', 'steer')
('reset', 'reest')
('dovens', 'devons')
('rabbet', 'barbet')
('user', 'suer')
('sure', 'ruse')
('sure', 'suer')
('suer', 'rues')
('ruse', 'rues')
('yaird', 'dairy')
('diary', 'dairy')
('raises', 'arises')
('creatin', 'ceratin')
('certain', 'ceratin')
('stapes', 'spates')
('robed', 'bored')
('robed', 'orbed')
('woe', 'owe')
('weka', 'wake')
('weka', 'weak')
('smiles', 'slimes')
('connect', 'concent')
('mousse', 'mouses')
('brakier', 'barkier')
('retailed', 'detailer')
('nitre', 'niter')
('niter', 'inter')
('holies', 'helios')
('rubying', 'burying')
('pal', 'lap')
('lap', 'alp')
('tameless', 'mateless')
('tumbrel', 'tumbler')
('modal', 'domal')
('rascal', 'lascar')
('typhonic', 'pythonic')
('martial', 'marital')
('regrading', 'regarding')
('stoup', 'spout')
('cats', 'acts')
('cats', 'cast')
('slaps', 'salps')
('calibres', 'calibers')
('ridges', 'dirges')
('ratten', 'natter')
('tools', 'loots')
('stool', 'sotol')
('sotol', 'lotos')
('lotos', 'loots')
('legate', 'gelate')
('whits', 'whist')
('war', 'raw')
('mair', 'amir')
('he', 'eh')
('psalm', 'plasm')
('cranches', 'chancres')
('godlike', 'doglike')
('terrene', 'terreen')
('sudd', 'duds')
('sing', 'gins')
('sing', 'sign')
('use', 'sue')
('nomistic', 'monistic')
('educed', 'deuced')
('lag', 'gal')
('postin', 'piston')
('piston', 'pintos')
('timbale', 'limbate')
('tom', 'mot')
('tourer', 'router')
('mode', 'dome')
('dome', 'demo')
('seed', 'dees')
('tictac', 'tactic')
('harried', 'hardier')
('pigs', 'gips')
('gentes', 'genets')
('ami', 'aim')
('olden', 'loden')
('reniform', 'reinform')
('margents', 'garments')
('craping', 'carping')
('ratal', 'artal')
('artal', 'altar')
('urn', 'run')
('rebate', 'berate')
('sealable', 'leasable')
('stirks', 'skirts')
('tingles', 'singlet')
('rams', 'arms')
('rams', 'mars')
('ossia', 'oasis')
('seal', 'leas')
('sale', 'lase')
('pose', 'peso')
('opes', 'epos')
('rubbliest', 'burbliest')
('rani', 'rain')
('bets', 'best')
('lotah', 'loath')
('sung', 'guns')
('sung', 'snug')
('snug', 'gnus')
('guns', 'gnus')
('accoutre', 'accouter')
('sobs', 'boss')
('rouped', 'poured')
('vase', 'save')
('laburnum', 'alburnum')
('nocks', 'conks')
('lacker', 'calker')
('wen', 'new')
('lotted', 'dottel')
('dottle', 'dottel')
('odes', 'does')
('dose', 'does')
('regains', 'reagins')
('reeled', 'leered')
('ozonised', 'ozonides')
('lackers', 'calkers')
('speel', 'sleep')
('peles', 'peels')
('prefects', 'perfects')
('sibb', 'bibs')
('throning', 'thorning')
('raggles', 'gargles')
('lowed', 'dowel')
('sabins', 'basins')
('sauces', 'causes')
('yah', 'hay')
('unmitre', 'unmiter')
('taluses', 'salutes')
('paged', 'gaped')
('polers', 'lopers')
('unties', 'unites')
('distensions', 'dissentions')
('maser', 'mares')
('marse', 'mares')
('diaries', 'dairies')
('warded', 'wadder')
('pried', 'pride')
('cravings', 'carvings')
('mucins', 'cumins')
('relegated', 'regelated')
('apples', 'appels')
('thickset', 'thickest')
('thickets', 'thickest')
('shaped', 'phased')
('pashed', 'hasped')
('nomarchs', 'monarchs')
('craves', 'carves')
('prude', 'drupe')
('timer', 'miter')
('remit', 'merit')
('mitre', 'miter')
('eyre', 'eery')
('eyre', 'eyer')
('sanger', 'ranges')
('docs', 'cods')
('clam', 'calm')
('singled', 'dingles')
('rappels', 'lappers')
('leudes', 'eludes')
('wops', 'pows')
('fro', 'for')
('sirrees', 'serries')
('vanes', 'naves')
('ramies', 'armies')
('ogre', 'gore')
('gore', 'goer')
('testees', 'settees')
('worried', 'wordier')
('wordier', 'rowdier')
('posse', 'poses')
('poses', 'pesos')
('trad', 'drat')
('drat', 'dart')
('gad', 'dag')
('godding', 'dodging')
('rosed', 'doser')
('rafted', 'dafter')
('rafted', 'farted')
('daman', 'adman')
('waddles', 'dawdles')
('bastes', 'basset')
('basset', 'basest')
('besmiles', 'beslimes')
('reviles', 'relives')
('guars', 'gaurs')
('cadastre', 'cadaster')
('sorel', 'lores')
('roles', 'lores')
('roles', 'orles')
('loser', 'lores')
('cotes', 'coset')
('hegira', 'hegari')
('poh', 'hop')
('reposed', 'deposer')
('tour', 'rout')
('maces', 'cames')
('cames', 'acmes')
('edifications', 'deifications')
('son', 'nos')
('ons', 'nos')
('gleed', 'glede')
('awol', 'alow')
('rugging', 'gurging')
('gled', 'geld')
('literates', 'laterites')
('nogging', 'gonging')
('sashed', 'dashes')
('sashed', 'sadhes')
('sadhes', 'dashes')
('spared', 'spader')
('edifies', 'deifies')
('stums', 'smuts')
('lacking', 'calking')
('induces', 'incudes')
('incused', 'incudes')
('koan', 'kaon')
('chaser', 'chares')
('gabs', 'bags')
('nag', 'gan')
('gid', 'dig')
('ohed', 'hoed')
('margent', 'garment')
('kitlings', 'kiltings')
('da', 'ad')
('kind', 'dink')
('comte', 'comet')
('tils', 'lits')
('tils', 'silt')
('slit', 'silt')
('silt', 'list')
('lits', 'list')
('radicle', 'radicel')
('dense', 'denes')
('made', 'dame')
('time', 'mite')
('stancher', 'snatcher')
('outsung', 'outguns')
('rabbets', 'barbets')
('versant', 'servant')
('gager', 'agger')
('eggar', 'agger')
('sours', 'sorus')
('spoon', 'snoop')
('trans', 'tarns')
('rases', 'arses')
('tends', 'dents')
('tace', 'cate')
('sourer', 'rouser')
('lobar', 'bolar')
('lobar', 'labor')
('almug', 'algum')
('embars', 'ambers')
('eyres', 'eyers')
('loca', 'cola')
('cola', 'coal')
('cations', 'actions')
('kneeing', 'keening')
('flotas', 'floats')
('secure', 'recuse')
('recuse', 'ceruse')
('rules', 'lures')
('educing', 'deucing')
('wared', 'wader')
('lodgings', 'godlings')
('ratlines', 'latrines')
('od', 'do')
('misinters', 'ministers')
('nae', 'ane')
('dazes', 'adzes')
('glanced', 'clanged')
('adobe', 'abode')
('mobbed', 'bombed')
('wo', 'ow')
('tesla', 'teals')
('teals', 'taels')
('tales', 'taels')
('stela', 'stale')
('stela', 'steal')
('steal', 'setal')
('stale', 'slate')
('tarpons', 'partons')
('patrons', 'partons')
('slatier', 'saltier')
('saltire', 'saltier')
('yeh', 'hey')
('rattening', 'nattering')
('sinus', 'nisus')
('shore', 'shoer')
('cupolas', 'copulas')
('tosh', 'host')
('tosh', 'soth')
('soth', 'hots')
('hots', 'host')
('breeds', 'bredes')
('sunn', 'nuns')
('warred', 'warder')
('refined', 'definer')
('scraped', 'scarped')
('dye', 'dey')
('dabs', 'bads')
('mordant', 'dormant')
('cants', 'canst')
('vases', 'saves')
('sombre', 'somber')
('ombres', 'ombers')
('tegmina', 'teaming')
('stria', 'stair')
('berimed', 'bemired')
('rebates', 'berates')
('trots', 'torts')
('romaines', 'moraines')
('strongyl', 'strongly')
('vealiest', 'leaviest')
('king', 'gink')
('mangles', 'mangels')
('mantles', 'mantels')
('silted', 'listed')
('pardi', 'padri')
('rambling', 'marbling')
('lifter', 'filter')
('terracing', 'retracing')
('retracing', 'recrating')
('ensiling', 'enisling')
('mool', 'loom')
('picolins', 'cipolins')
('narc', 'carn')
('teaser', 'seater')
('tains', 'saint')
('stain', 'satin')
('blats', 'blast')
('vealers', 'leavers')
('salvias', 'salivas')
('lobes', 'boles')
('versants', 'servants')
('mains', 'amins')
('sabed', 'based')
('sups', 'puss')
('eulogise', 'eulogies')
('poles', 'lopes')
('were', 'weer')
('weer', 'ewer')
('pretest', 'pertest')
('leaders', 'dealers')
('those', 'shote')
('pickeer', 'peckier')
('swayer', 'sawyer')
('sees', 'eses')
('creatins', 'ceratins')
('leaf', 'feal')
('flea', 'alef')
('whets', 'thews')
('reviling', 'reliving')
('examen', 'axemen')
('dad', 'add')
('tabs', 'bats')
('bats', 'bast')
('repertories', 'repertoires')
('nides', 'dines')
('bran', 'barn')
('lye', 'ley')
('curst', 'crust')
('dyes', 'deys')
('rim', 'mir')
('singing', 'signing')
('ode', 'doe')
('spiering', 'speiring')
('demise', 'demies')
('furmenty', 'frumenty')
('veering', 'reeving')
('cannie', 'canine')
('untamed', 'unmated')
('ryked', 'dyker')
('rod', 'dor')
('trigs', 'grits')
('grits', 'girts')
('grits', 'grist')
('frae', 'fare')
('frae', 'fear')
('ruts', 'rust')
('boras', 'boars')
('meagrely', 'meagerly')
('sages', 'gases')
('times', 'mites')
('stime', 'smite')
('smite', 'emits')
('mites', 'metis')
('parcel', 'carpel')
('intended', 'indented')
('ribbed', 'dibber')
('vernier', 'nervier')
('vee', 'eve')
('lycea', 'lacey')
('barre', 'barer')
('nagger', 'ganger')
('trot', 'tort')
('cascable', 'cascabel')
('pash', 'hasp')
('hasp', 'haps')
('bulges', 'bugles')
('platier', 'plaiter')
('elegits', 'elegist')
('tooled', 'looted')
('mad', 'dam')
('resides', 'desires')
('corded', 'codder')
('holloaing', 'hallooing')
('goal', 'gaol')
('loafed', 'foaled')
('spae', 'apse')
('pase', 'apse')
('apse', 'apes')
('urban', 'unbar')
('yaks', 'kays')
('lakes', 'kales')
('umpire', 'impure')
('antic', 'actin')
('nod', 'don')
('pooling', 'looping')
('stanched', 'snatched')
('griding', 'girding')
('dottles', 'dottels')
('skene', 'skeen')
('knees', 'keens')
('gruels', 'gluers')
('archon', 'anchor')
('toucher', 'couther')
('daces', 'cades')
('cased', 'cades')
('raper', 'parer')
('tinea', 'tenia')
('radicles', 'radicels')
('spools', 'sloops')
('bema', 'beam')
('duc', 'cud')
('swears', 'sewars')
('sewars', 'sawers')
('terras', 'tarres')
('rarest', 'arrest')
('tackers', 'rackets')
('supes', 'puses')
('supes', 'spues')
('worths', 'rowths')
('silane', 'saline')
('alines', 'aliens')
('hetero', 'hereto')
('waits', 'waist')
('outsing', 'ousting')
('terrace', 'retrace')
('retrace', 'recrate')
('freshets', 'freshest')
('corse', 'cores')
('cores', 'ceros')
('moral', 'molar')
('suber', 'rubes')
('rubes', 'rebus')
('sals', 'lass')
('tops', 'pots')
('stop', 'spot')
('pots', 'opts')
('pots', 'post')
('harken', 'hanker')
('craven', 'carven')
('ree', 'ere')
('trial', 'trail')
('tykes', 'kytes')
('mania', 'amnia')
('amnia', 'amain')
('rafting', 'farting')
('wae', 'awe')
('ceramals', 'caramels')
('concreting', 'concerting')
('leks', 'elks')
('stanches', 'snatches')
('sabe', 'base')
('margented', 'garmented')
('reads', 'dears')
('sods', 'doss')
('rubbling', 'burbling')
('traiks', 'kraits')
('tuna', 'aunt')
('hollaing', 'halloing')
('rile', 'lire')
('rile', 'riel')
('riel', 'lier')
('lire', 'lier')
('costar', 'castor')
('stones', 'stenos')
('teched', 'etched')
('polys', 'ploys')
('lat', 'alt')
('fibres', 'fibers')
('subdeb', 'subbed')
('claques', 'calques')
('tors', 'rots')
('tors', 'sort')
('rots', 'orts')
('philtre', 'philter')
('cordons', 'condors')
('wrothful', 'worthful')
('wines', 'sinew')
('plie', 'pile')
('kea', 'kae')
('noils', 'loins')
('loins', 'lions')
('lions', 'linos')
('detonations', 'denotations')
('melons', 'lemons')
('ceramal', 'caramel')
('quasi', 'quais')
('roods', 'doors')
('odors', 'doors')
('sanded', 'sadden')
('desand', 'dedans')
('fife', 'fief')
('griths', 'girths')
('teams', 'meats')
('tames', 'mates')
('satem', 'mates')
('milo', 'limo')
('terrains', 'retrains')
('curtsey', 'curtesy')
('curried', 'curdier')
('abohm', 'abmho')
('curse', 'cruse')
('curse', 'cures')
('teased', 'seated')
('tepa', 'tape')
('tape', 'pate')
('broo', 'boor')
('patnesses', 'aptnesses')
('rifer', 'firer')
('frier', 'firer')
('slivered', 'silvered')
('gambrels', 'gamblers')
('samek', 'kames')
('makes', 'kames')
('wraps', 'warps')
('breaking', 'beraking')
('larding', 'darling')
('vomer', 'mover')
('framers', 'farmers')
('mangle', 'mangel')
('mage', 'game')
('rims', 'mirs')
('rammed', 'dammer')
('nitric', 'citrin')
('platen', 'planet')
('lug', 'gul')
('veiler', 'eviler')
('revile', 'relive')
('axles', 'axels')
('tsars', 'stars')
('tsars', 'trass')
('conifers', 'coinfers')
('retsina', 'retains')
('retinas', 'ratines')
('tog', 'got')
('liards', 'lairds')
('wary', 'awry')
('glided', 'gilded')
('quite', 'quiet')
('core', 'cero')
('refried', 'ferried')
('refried', 'refired')
('fetas', 'fates')
('fetas', 'feats')
('feats', 'feast')
('unversed', 'unserved')
('tules', 'lutes')
('sealing', 'leasing')
('bora', 'boar')
('hatless', 'haslets')
('expecting', 'excepting')
('areologies', 'aerologies')
('pactions', 'captions')
('refine', 'ferine')
('fluyt', 'fluty')
('garbing', 'barging')
('curacoas', 'curacaos')
('slang', 'glans')
('seme', 'seem')
('nomism', 'monism')
('udo', 'duo')
('oud', 'duo')
('alkalise', 'alkalies')
('neb', 'ben')
('antinomies', 'antimonies')
('craton', 'carton')
('carton', 'cantor')
('rabbled', 'dabbler')
('racemates', 'macerates')
('tiara', 'riata')
('rouging', 'roguing')
('coxed', 'codex')
('praises', 'parises')
('parises', 'paresis')
('noms', 'mons')
('wordiness', 'rowdiness')
('pud', 'dup')
('breed', 'brede')
('brees', 'beers')
('yill', 'lily')
('lily', 'illy')
('suck', 'cusk')
('psaltery', 'plastery')
('macabre', 'macaber')
('misfiled', 'misfield')
('tithers', 'hitters')
('theorise', 'theories')
('mine', 'mien')
('soph', 'hops')
('soph', 'posh')
('climates', 'clematis')
('complied', 'compiled')
('klieg', 'kleig')
('pedicle', 'pedicel')
('seceder', 'recedes')
('unde', 'nude')
('nude', 'dune')
('ruling', 'luring')
('pele', 'peel')
('craped', 'carped')
('nocked', 'conked')
('tups', 'puts')
('mug', 'gum')
('sopiting', 'positing')
('sepulchres', 'sepulchers')
('sirens', 'serins')
('serins', 'resins')
('forded', 'fodder')
('sager', 'rages')
('rowed', 'dower')
('sangh', 'hangs')
('slags', 'glass')
('untitled', 'untilted')
('pacers', 'capers')
('rimy', 'miry')
('crepey', 'creepy')
('frith', 'firth')
('lodging', 'godling')
('saddled', 'daddles')
('bree', 'beer')
('vilest', 'livest')
('argol', 'algor')
('rusted', 'duster')
('siren', 'risen')
('siren', 'serin')
('serin', 'resin')
('risen', 'resin')
('tallies', 'tailles')
('reverser', 'reserver')
('intender', 'indenter')
('malinger', 'maligner')
('tip', 'pit')
('goitres', 'goiters')
('koans', 'kaons')
('stains', 'satins')
('mobbers', 'bombers')
('regent', 'gerent')
('bubals', 'babuls')
('ten', 'net')
('serows', 'resows')
('onuses', 'nouses')
('costars', 'castors')
('crave', 'carve')
('ride', 'dire')
('tugless', 'gutless')
('vealy', 'leavy')
('burned', 'burden')
('tickers', 'rickets')
('cored', 'coder')
('niggers', 'gingers')
('chisel', 'chiles')
('chiles', 'chiels')
('sip', 'pis')
('psi', 'pis')
('slap', 'salp')
('salp', 'pals')
('pals', 'laps')
('laps', 'alps')
('resigned', 'designer')
('teazles', 'teazels')
('naggers', 'gangers')
('goaling', 'gaoling')
('protended', 'portended')
('crepe', 'creep')
('rustled', 'lustred')
('rimiest', 'miriest')
('reflowed', 'deflower')
('dads', 'adds')
('tamer', 'mater')
('tamer', 'ramet')
('ramet', 'armet')
('retested', 'detester')
('tarter', 'ratter')
('sugh', 'gush')
('sugh', 'hugs')
('singer', 'signer')
('resign', 'renigs')
('teg', 'get')
('infracts', 'infarcts')
('tattler', 'tartlet')
('coned', 'coden')
('talent', 'latent')
('wap', 'paw')
('sakers', 'askers')
('eskars', 'askers')
('plied', 'piled')
('fluors', 'flours')
('rappel', 'lapper')
('left', 'felt')
('slid', 'sild')
('fet', 'eft')
('relaters', 'realters')
('shank', 'khans')
('stoccata', 'staccato')
('ratline', 'latrine')
('milos', 'limos')
('verses', 'serves')
('die', 'dei')
('spaed', 'spade')
('chile', 'chiel')
('comtes', 'comets')
('odorless', 'doorless')
('protending', 'portending')
('tag', 'gat')
('driest', 'direst')
('niobic', 'bionic')
('pac', 'cap')
('lams', 'alms')
('wads', 'daws')
('wordily', 'rowdily')
('rouged', 'rogued')
('rappen', 'napper')
('saddler', 'raddles')
('rapped', 'dapper')
('harkens', 'hankers')
('tome', 'mote')
('hirsle', 'hirsel')
('sold', 'dols')
('grith', 'girth')
('mordancies', 'dormancies')
('toners', 'noters')
('toners', 'tenors')
('rubbed', 'dubber')
('niding', 'dining')
('freres', 'freers')
('gliders', 'gilders')
('grided', 'girded')
('syne', 'snye')
('pad', 'dap')
('bayaderes', 'bayadeers')
('beldams', 'bedlams')
('terry', 'retry')
('flatboats', 'faltboats')
('romaine', 'moraine')
('mags', 'gams')
('maple', 'ample')
('roach', 'orach')
('prated', 'parted')
('nomograms', 'monograms')
('framable', 'farmable')
('harkening', 'hankering')
('rubbles', 'burbles')
('morals', 'molars')
('ulsters', 'lusters')
('rustles', 'lustres')
('lustres', 'lusters')
('scrap', 'scarp')
('craps', 'carps')
('dubs', 'buds')
('gun', 'gnu')
('grudged', 'drugged')
('tiled', 'tilde')
('hose', 'hoes')
('real', 'lear')
('magmas', 'gammas')
('under', 'nuder')
('gutsier', 'gustier')
('framer', 'farmer')
('yills', 'silly')
('slily', 'silly')
('top', 'pot')
('pot', 'opt')
('rub', 'bur')
('sorter', 'roster')
('proas', 'praos')
('morgens', 'mongers')
('caned', 'acned')
('refly', 'ferly')
('toughs', 'sought')
('kindly', 'dinkly')
('lifters', 'filters')
('vena', 'vane')
('vane', 'nave')
('tore', 'rote')
('tombacs', 'combats')
('topstone', 'potstone')
('pomes', 'mopes')
('pomes', 'poems')
('rowels', 'lowers')
('redbugs', 'bedrugs')
('sifts', 'fists')
('edifying', 'deifying')
('broom', 'bromo')
('nomadism', 'monadism')
('canes', 'acnes')
('pool', 'loop')
('pool', 'polo')
('karts', 'karst')
('titled', 'tilted')
('converse', 'conserve')
('besmiled', 'beslimed')
('taches', 'sachet')
('scraps', 'scarps')
('pam', 'map')
('map', 'amp')
('besmile', 'beslime')
('mood', 'doom')
('onus', 'nous')
('tones', 'notes')
('stone', 'steno')
('vise', 'vies')
('myna', 'many')
('ravel', 'laver')
('dipole', 'diploe')
('lineable', 'lienable')
('prod', 'drop')
('drop', 'dorp')
('grid', 'gird')
('undee', 'endue')
('skier', 'siker')
('kiers', 'keirs')
('nomarchies', 'monarchies')
('sifted', 'fisted')
('teasing', 'seating')
('sober', 'robes')
('robes', 'bores')
('tweed', 'tewed')
('pig', 'gip')
('outre', 'outer')
('nickle', 'nickel')
('reheat', 'hereat')
('yeas', 'eyas')
('eyas', 'ayes')
